bin,completeness,contamination,strain_heterogeneity,length,N50,drep_cluster,drep_winner,gtdb_classification,ncbi_classification
220806_BK_F6E_DNA_mat_brown_bin.31,4.17,0,0,374036,4148,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_brown_bin.33,96.39,1.18,57.14,3321824,23438,461_1,220806_BK_F6E_DNA_mat_brown_bin.33,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__
220806_BK_F6E_DNA_mat_brown_bin.34,89.68,1.1,0,3649417,7380,359_1,220806_BK_F6E_DNA_mat_brown_bin.34,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__Glo-17;s__,d__Bacteria;p__;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.35,95.17,0.4,0,3132676,9536,404_1,220806_BK_F6E_DNA_mat_brown_bin.35,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Magnetospiraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassospiraceae;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.36,41.38,1.72,0,2060341,3803,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__;g__;s__
220806_BK_F6E_DNA_mat_brown_bin.37,86.68,0.72,42.86,2639220,9871,435_1,220806_BK_F6E_DNA_sed_beige_bin.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220806_BK_F6E_DNA_mat_brown_bin.5,10.34,0,0,335829,3329,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_brown_bin.7,8.33,0,0,637649,3238,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_brown_bin.8,4.23,0,0,775435,3273,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_green_bin.1,89.41,0.99,0,4427052,28763,49_1,220806_BK_F6E_DNA_sed_beige_bin.21,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__,d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Trueperales;f__Trueperaceae;g__;s__
220806_BK_F6E_DNA_mat_green_bin.10,97.29,2.12,29.41,3546796,56770,438_1,220806_BK_F6E_DNA_mat_green_bin.10,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220806_BK_F6E_DNA_mat_green_bin.12,90.88,0.15,0,2853822,13917,48_1,220806_BK_F6E_DNA_mat_green_bin.12,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__UBA7441;s__,d__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_green_bin.14,86.8,0.61,100,3013756,123531,461_1,220806_BK_F6E_DNA_mat_brown_bin.33,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__
220806_BK_F6E_DNA_mat_green_bin.15,92.63,3.06,8.33,3254827,16344,295_1,220806_BK_F6E_DNA_mat_brown_bin.17,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
220806_BK_F6E_DNA_mat_green_bin.16,92.06,0.71,0,3602289,18898,47_1,220806_BK_F6E_DNA_mat_brown_bin.2,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__SS1-B-03-39;f__UBA6053;g__UBA6053;s__,d__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_green_bin.17,96.46,2.53,0,4860103,25317,41_1,220806_BK_F6E_DNA_sed_beige_bin.36,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__,d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__
220806_BK_F6E_DNA_mat_green_bin.18,8.52,0.22,0,315271,3853,NA,NA,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Coleofasciculus;s__,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Coleofasciculaceae;g__Coleofasciculus;s__
220806_BK_F6E_DNA_mat_green_bin.19,85.49,2.1,45,3212480,11612,459_1,220806_BK_F6E_DNA_sed_beige_bin.33,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Marivita;s__
220806_BK_F6E_DNA_mat_green_bin.2,4.17,0,0,271430,2945,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_green_bin.20,22.41,0,0,893945,3636,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseobacter;s__
220806_BK_F6E_DNA_mat_green_bin.21,0,0,0,371162,4280,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_green_bin.22,73.74,2.71,50,2572272,6518,322_1,220806_BK_F6E_DNA_sed_beige_bin.50,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nitriliruptorales;f__Nitriliruptoraceae;g__T1Sed10-7;s__,d__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__;s__
220806_BK_F6E_DNA_mat_green_bin.23,16.38,0,0,489974,3191,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_green_bin.25,69.52,0.68,0,1772554,6181,46_1,220806_BK_F6E_DNA_mat_green_bin.25,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__WN38;s__,d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita;s__
220806_BK_F6E_DNA_mat_green_bin.27,88.93,0.67,33.33,4359983,8690,50_1,220806_BK_F6E_DNA_sed_beige_bin.35,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Spirulinaceae;g__ESFC-1;s__,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__;g__;s__
220806_BK_F6E_DNA_mat_green_bin.28,20.69,1.72,0,1143307,3924,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220806_BK_F6E_DNA_mat_green_bin.3,23.28,0,0,1567437,4505,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Natronospirillaceae;g__Saccharospirillum;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Saccharospirillum;s__
220806_BK_F6E_DNA_mat_green_bin.5,50.86,1.72,100,1956881,5052,378_1,220806_BK_F6E_DNA_brine_bin.19,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Maricaulales;f__Maricaulaceae;g__;s__
220806_BK_F6E_DNA_mat_green_bin.7,94.45,1.12,42.86,2846965,14948,435_1,220806_BK_F6E_DNA_sed_beige_bin.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220806_BK_F6E_DNA_mat_green_bin.8,60,2.59,66.67,2903247,6725,458_1,220805_MW_S4_DNA_Brine_bin.10,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Marivita;s__
220806_BK_F6E_DNA_mat_orange_bin.1,17.15,0,0,842126,3296,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.10,80.55,1.35,25,2584499,6488,48_1,220806_BK_F6E_DNA_mat_green_bin.12,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__UBA7441;s__,d__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.12,92.74,0.48,0,3437283,23615,47_1,220806_BK_F6E_DNA_mat_brown_bin.2,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__SS1-B-03-39;f__UBA6053;g__UBA6053;s__,d__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.14,98.48,1.52,0,4929122,31717,41_1,220806_BK_F6E_DNA_sed_beige_bin.36,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__,d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.15,54.23,0.43,100,1519276,4248,378_1,220806_BK_F6E_DNA_brine_bin.19,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Maricaulales;f__Maricaulaceae;g__Oceanicaulis;s__
220806_BK_F6E_DNA_mat_orange_bin.16,8.62,0,0,797743,2975,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_orange_bin.17,0,0,0,785835,12760,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_orange_bin.18,91.61,2.88,0,3177157,14518,295_1,220806_BK_F6E_DNA_mat_brown_bin.17,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.19,78.3,1.65,62.5,2863951,6637,506_1,220806_BK_F6E_DNA_mat_brown_bin.27,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae;g__Marinobacter;s__
220806_BK_F6E_DNA_mat_orange_bin.2,96.99,1.73,70,3750026,34939,434_1,220806_BK_F6E_DNA_sed_beige_bin.22,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220806_BK_F6E_DNA_mat_orange_bin.20,87.95,0.75,100,2887130,7106,404_1,220806_BK_F6E_DNA_mat_brown_bin.35,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Magnetospiraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassospiraceae;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.21,79.58,3.21,25,2736166,5275,305_1,220806_BK_F6E_DNA_mat_orange_bin.21,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.22,55.96,13.65,66.67,2224985,7521,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__XN24;f__XN24;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.23,24.59,0.54,50,1321501,3584,NA,NA,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__JAABSP01;g__JAABSP01;s__,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.25,0,0,0,258609,14015,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_orange_bin.27,47.09,1.19,60,2044640,4271,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Marivita;s__
220806_BK_F6E_DNA_mat_orange_bin.28,4.17,0,0,319768,4041,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_orange_bin.3,41.38,1.72,100,4152087,3880,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.31,16.77,0,0,659521,3653,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__WN38;s__,d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita;s__
220806_BK_F6E_DNA_mat_orange_bin.33,92.99,2.66,50,2925418,10321,322_1,220806_BK_F6E_DNA_sed_beige_bin.50,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nitriliruptorales;f__Nitriliruptoraceae;g__T1Sed10-7;s__,d__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.34,12.56,0,0,633273,3202,NA,NA,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__,d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Trueperales;f__Trueperaceae;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.35,0,0,0,262913,25194,NA,NA,Unclassified,Unclassified
220806_BK_F6E_DNA_mat_orange_bin.36,65.51,1.12,100,853033,9861,106_1,220806_BK_F6E_DNA_mat_orange_bin.36,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA918;g__OLB19;s__,d__Bacteria;p__;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.37,90.63,0.07,0,3107897,77219,461_1,220806_BK_F6E_DNA_mat_brown_bin.33,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__
220806_BK_F6E_DNA_mat_orange_bin.38,0,0,0,343963,7318,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_orange_bin.39,9.09,0,0,293814,3031,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_mat_orange_bin.5,12.38,1.72,0,553131,3312,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__;s__,d__Bacteria;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.7,92.5,1.49,66.67,2913477,12719,403_1,220806_BK_F6E_DNA_sed_beige_bin.44,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__
220806_BK_F6E_DNA_mat_orange_bin.8,55.17,0,0,2455846,5440,459_1,220806_BK_F6E_DNA_sed_beige_bin.33,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Marivita;s__
220806_BK_F6E_DNA_sed_beige_bin.1,94.6,0.82,42.86,2886800,19432,435_1,220806_BK_F6E_DNA_sed_beige_bin.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220806_BK_F6E_DNA_sed_beige_bin.11,16.38,0,0,1371815,3778,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae;g__Marinobacter;s__
220806_BK_F6E_DNA_sed_beige_bin.13,58.4,1.12,0,764085,14661,106_1,220806_BK_F6E_DNA_mat_orange_bin.36,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA918;g__OLB19;s__,d__Bacteria;p__;c__;o__;f__;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.14,85.96,1.88,0,6275612,16059,29_0,220806_BK_F6E_DNA_sed_beige_bin.14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Tunicatimonas;s__,d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Catalimonadaceae;g__Tunicatimonas;s__
220806_BK_F6E_DNA_sed_beige_bin.15,74.35,2.43,0,3518068,5745,330_0,220806_BK_F6E_DNA_sed_beige_bin.15,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.16,4.17,0,0,1287898,3612,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Sulfitobacter;s__
220806_BK_F6E_DNA_sed_beige_bin.17,13.79,0,0,442757,3104,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_sed_beige_bin.18,79.29,0.12,20,2343901,5663,285_0,220806_BK_F6E_DNA_sed_beige_bin.18,d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__;s__,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.19,0,0,0,727469,11375,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_sed_beige_bin.2,88.66,0.1,0,3075466,181037,461_1,220806_BK_F6E_DNA_mat_brown_bin.33,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__
220806_BK_F6E_DNA_sed_beige_bin.20,86.12,0.28,0,2890275,11197,12_2,220806_BK_F6E_DNA_sed_beige_bin.20,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.21,89.83,0.99,0,4547806,32079,49_1,220806_BK_F6E_DNA_sed_beige_bin.21,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__,d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Trueperales;f__Trueperaceae;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.22,98.74,0.36,25,3926287,108426,434_1,220806_BK_F6E_DNA_sed_beige_bin.22,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220806_BK_F6E_DNA_sed_beige_bin.23,50.86,12.07,62.5,4161626,3626,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.24,12.38,0,0,325658,3214,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_sed_beige_bin.26,49.93,0.95,71.43,2242690,5184,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Marivita;s__
220806_BK_F6E_DNA_sed_beige_bin.29,23.45,0,0,1181578,3894,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__KCTC-12870;g__;s__,d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.30,31.03,0,0,990446,3537,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseobacter;s__
220806_BK_F6E_DNA_sed_beige_bin.32,62.64,1.1,50,2245208,5037,506_1,220806_BK_F6E_DNA_mat_brown_bin.27,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae;g__Marinobacter;s__
220806_BK_F6E_DNA_sed_beige_bin.34,47.73,0.34,0,1814630,4238,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAIVHI01;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Loktanella;s__
220806_BK_F6E_DNA_sed_beige_bin.35,93.37,0,0,4412846,8704,50_1,220806_BK_F6E_DNA_sed_beige_bin.35,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Spirulinaceae;g__ESFC-1;s__,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.36,98.48,1.52,0,5155657,46019,41_1,220806_BK_F6E_DNA_sed_beige_bin.36,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__,d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.37,54.88,0,0,2642916,4519,96_1,220806_BK_F6E_DNA_mat_brown_bin.24,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__JAABSP01;g__JAABSP01;s__,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.38,70.16,1.06,60,2000813,5118,378_1,220806_BK_F6E_DNA_brine_bin.19,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Maricaulales;f__Maricaulaceae;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.39,10.3,0.03,0,416783,3417,NA,NA,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Coleofasciculus;s__,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Coleofasciculaceae;g__Coleofasciculus;s__
220806_BK_F6E_DNA_sed_beige_bin.4,4.4,0,0,267203,2792,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_sed_beige_bin.40,0,0,0,381860,4250,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220806_BK_F6E_DNA_sed_beige_bin.41,23.74,0,0,1132683,3475,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__;g__;s__
220806_BK_F6E_DNA_sed_beige_bin.42,4.17,0,0,316432,3779,NA,NA,Unclassified Bacteria,Unclassified Bacteria
